,sensor,target,mask,mae,r2
39,R3,CH4_conc,False,0.00345833275526289,0.9987026104807551
40,R3,H2S_conc,True,0.000199842412083868,0.9882756327459751
41,R3,H2S_conc,False,0.000263640849915131,0.9763899522722413
42,R3,SO2_conc,True,0.000399525124875326,0.5514406717667888
43,R3,SO2_conc,False,0.0003854639408134279,0.5263846440975741
44,R3,HCOH_conc,True,0.0004316398276538445,0.8989622915125771
45,R3,HCOH_conc,False,0.0001254922796178747,0.9893099035718487
46,R3,CO_conc,True,0.0007135419228286655,0.9783667619062991
47,R3,CO_conc,False,0.0007523131123926273,0.9713881790363397
48,R3,H2_conc,True,0.002001420240553598,0.9988433568545895
49,R3,H2_conc,False,0.0009179597738243287,0.9996524440687456
50,R3,NO2_conc,True,0.0007403322713873373,0.958103826587807
51,R3,NO2_conc,False,0.0005399663941727744,0.9766164640804188
52,R3,NH3_conc,True,0.001959342576523937,0.999215934798192
53,R3,NH3_conc,False,0.001735846239028784,0.9996478182814366
54,R4,NO_conc,True,0.003262809080579294,0.9974955653078296
55,R4,NO_conc,False,0.002134200235602086,0.9982406948976215
56,R4,CH4_conc,True,0.002278510678717226,0.9992485184740957
57,R4,CH4_conc,False,0.002020387105525486,0.999476522492985
58,R4,H2S_conc,True,0.0001491563969030582,0.9900693212215634
59,R4,H2S_conc,False,0.0001314272847440508,0.9924997713677884
60,R4,SO2_conc,True,0.0003779634048068334,0.5614868790801816
61,R4,SO2_conc,False,0.0003724311118088072,0.6165978758347557
62,R4,HCOH_conc,True,0.0006196990962421138,0.6465082091683549
63,R4,HCOH_conc,False,0.0002274440767036543,0.9697518133967757
64,R4,CO_conc,True,0.0005782261528114162,0.9824900617556303
65,R4,CO_conc,False,0.0004892172132850324,0.9858155538719858
66,R4,H2_conc,True,0.001763608810447511,0.9992189292204019
67,R4,H2_conc,False,0.0006434264668711911,0.9997552727622506
68,R4,NO2_conc,True,0.0003129717147355824,0.9912570784554774
69,R4,NO2_conc,False,0.0003921398686038123,0.9886872391586321
70,R4,NH3_conc,True,0.001784973396000664,0.9994106312235144
71,R4,NH3_conc,False,0.001559710120240217,0.9995397904422882
72,R5,NO_conc,True,0.004813386996587118,0.9951645508308083
73,R5,NO_conc,False,0.002447409044221911,0.9980290684394473
74,R5,CH4_conc,True,0.005449672753888147,0.9964506640211809
75,R5,CH4_conc,False,0.004086876675565406,0.9982198243142105
76,R5,H2S_conc,True,0.0003273726655219598,0.9590829021416621
77,R5,H2S_conc,False,0.00026081150013303,0.9782597561250599
78,R5,SO2_conc,True,0.0004324325647145982,0.6111044330214896
79,R5,SO2_conc,False,0.0003761813493948135,0.5333373848670375
80,R5,HCOH_conc,True,0.0005946682549658276,0.5980301406922337
81,R5,HCOH_conc,False,0.0004822736221646506,0.8503878434531449
82,R5,CO_conc,True,0.000435666312758254,0.9889890728009851
83,R5,CO_conc,False,0.000477320875140725,0.9860725102862621
84,R5,H2_conc,True,0.0007739823171622537,0.9997631268596033
85,R5,H2_conc,False,0.000822179663591284,0.9998596041814702
86,R5,NO2_conc,True,0.0004824060786889974,0.9623687462624549
87,R5,NO2_conc,False,0.000415300119806219,0.9661238509262606
88,R5,NH3_conc,True,0.001308699631225811,0.9997330647628077
89,R5,NH3_conc,False,0.001112740267679174,0.9997451197905117
90,R6,NO_conc,True,0.004406029572119079,0.9942488850905026
91,R6,NO_conc,False,0.004953970446709603,0.991906898955768
92,R6,CH4_conc,True,0.02276288663584089,0.9135835703884827
93,R6,CH4_conc,False,0.04055096964750971,0.5677377679308093
94,R6,H2S_conc,True,9.04889251819994e-05,0.9944518777084984
95,R6,H2S_conc,False,7.040082343987057e-05,0.9976752428564037
96,R6,SO2_conc,True,0.0004488950068988498,0.4262805745505788
97,R6,SO2_conc,False,0.0005190697364706212,0.2661758975097156
98,R6,HCOH_conc,True,0.0003751991702135277,0.8827927756284266
99,R6,HCOH_conc,False,0.0004843223532513966,0.8297005250247239
100,R6,CO_conc,True,0.0008919988269410122,0.9600106109930517
101,R6,CO_conc,False,0.0005268708808633386,0.9863996346451273
102,R6,H2_conc,True,0.004832037380763463,0.9956519628876592
103,R6,H2_conc,False,0.004234442279215844,0.9962269569346803
104,R6,NO2_conc,True,0.0008043454593372724,0.951136069736495
105,R6,NO2_conc,False,0.0007855149488600474,0.9277543379105987
106,R6,NH3_conc,True,0.004065633883019761,0.9973914545530271
107,R6,NH3_conc,False,0.003522457022752081,0.9977121284312245
108,R7,NO_conc,True,0.001966735969775569,0.9989861215536883
109,R7,NO_conc,False,0.002668000253104659,0.9989420939079645
110,R7,CH4_conc,True,0.005229842192123807,0.9946898825643348
111,R7,CH4_conc,False,0.002396694986671998,0.9989014093122954
112,R7,H2S_conc,True,0.0002624176466275775,0.9800808626812053
113,R7,H2S_conc,False,0.0001515080875189847,0.9923970058078748
114,R7,SO2_conc,True,0.0004570057628646729,0.2993076455283809
115,R7,SO2_conc,False,0.0004688241273637802,0.5248794530226298
116,R7,HCOH_conc,True,0.0003882981705082156,0.9150680293942518
117,R7,HCOH_conc,False,0.0001984643075201246,0.9792736238709476
118,R7,CO_conc,True,0.0009122013122947128,0.9624257978344358
119,R7,CO_conc,False,0.000640765641479896,0.9830384644246724
120,R7,H2_conc,True,0.004522606825860089,0.9873002300843144
121,R7,H2_conc,False,0.002699662231736713,0.9913893665623117
122,R7,NO2_conc,True,0.0006185399705455417,0.9715162454152441
123,R7,NO2_conc,False,0.0003638613515430027,0.9887159317163513
124,R7,NH3_conc,True,0.006195375725390419,0.9804534372142452
125,R7,NH3_conc,False,0.004974733064414333,0.9825111847278265
126,R8,NO_conc,True,0.004854963093049942,0.995783262351834
127,R8,NO_conc,False,0.005954838686046147,0.9963036591631979
128,R8,CH4_conc,True,0.00330121674865642,0.9985261030704371
129,R8,CH4_conc,False,0.002024432750684875,0.9993569501706997
130,R8,H2S_conc,True,0.0002021633985181334,0.9870352271044132
131,R8,H2S_conc,False,0.0001435337321310447,0.9928363168102605
132,R8,SO2_conc,True,0.000433004274349364,0.6037268431968108
133,R8,SO2_conc,False,0.0004644248290982827,0.5455661829865737
134,R8,HCOH_conc,True,0.0002588969437060532,0.9647060122990038
135,R8,HCOH_conc,False,0.0001950931848356963,0.9797690325531812
136,R8,CO_conc,True,0.0005310151870919283,0.9865044312335725
137,R8,CO_conc,False,0.0004329152713377009,0.990095944228761
138,R8,H2_conc,True,0.002031586930234597,0.9972778431766263
139,R8,H2_conc,False,0.001163507092724402,0.9994507318144005
140,R8,NO2_conc,True,0.0004363550355746633,0.9821834141977299
141,R8,NO2_conc,False,0.0002897569792611258,0.9940336326807067
142,R8,NH3_conc,True,0.002168661095793285,0.9984977217966979
143,R8,NH3_conc,False,0.001496037371732571,0.9993482228428694
144,R9,NO_conc,True,0.01521141297878727,0.950201125972536
145,R9,NO_conc,False,0.009106020721059944,0.9793496255181955
146,R9,CH4_conc,True,0.03846011670257049,0.788746221391527
147,R9,CH4_conc,False,0.02155368825016672,0.9170302774931637
148,R9,H2S_conc,True,0.000360815383186416,0.97002400632284
149,R9,H2S_conc,False,0.0003961996589388166,0.9591641123122989
150,R9,SO2_conc,True,0.0004826455571664074,0.5414385132090643
151,R9,SO2_conc,False,0.0004589695899811371,0.4875287238302177
152,R9,HCOH_conc,True,0.0004700885436017677,0.8954394536248935
153,R9,HCOH_conc,False,0.0004969928440341242,0.8606314253010245
154,R9,CO_conc,True,0.0003024027122975027,0.9926879364112998
155,R9,CO_conc,False,0.0004061822320355309,0.9878783020765668
156,R9,H2_conc,True,0.00967535947046425,0.9707812300125055
157,R9,H2_conc,False,0.005051709376945697,0.9898981224089981
158,R9,NO2_conc,True,0.0007503497754435533,0.9395711282561485
159,R9,NO2_conc,False,0.0006083573334116154,0.954964974453349
160,R9,NH3_conc,True,0.001684177011133187,0.9996604133047131
161,R9,NH3_conc,False,0.001705800221552925,0.9996131389846996
162,R10,NO_conc,True,0.01068985817668141,0.9769138481769434
163,R10,NO_conc,False,0.007853525408479587,0.9881999468096883
164,R10,CH4_conc,True,0.04626793897656537,0.570188970994649
165,R10,CH4_conc,False,0.03684029263636422,0.8053247463538014
166,R10,H2S_conc,True,0.0002760755492936051,0.9821802387987982
167,R10,H2S_conc,False,0.0002912861981562206,0.9829066546331635
168,R10,SO2_conc,True,0.0004205660618802227,0.5076433230514752
169,R10,SO2_conc,False,0.0004107202187417045,0.5602973977318471
170,R10,HCOH_conc,True,0.0005396958349542642,0.858854897606782
171,R10,HCOH_conc,False,0.0002810410989466167,0.9460320864057713
172,R10,CO_conc,True,0.0008503438134294339,0.9691827252607043
173,R10,CO_conc,False,0.0003501884904361907,0.9936605310091882
174,R10,H2_conc,True,0.005798628545627392,0.9945746449229566
175,R10,H2_conc,False,0.002274520125969376,0.9987183107747506
176,R10,NO2_conc,True,0.001070334289029793,0.9179988198926431
177,R10,NO2_conc,False,0.000557843508669939,0.9732052443538387
178,R10,NH3_conc,True,0.001470888681985714,0.9995943686994225
179,R10,NH3_conc,False,0.00139806332135642,0.9997404365341337
180,R11,NO_conc,True,0.03311864700897661,0.8088030092027367
181,R11,NO_conc,False,0.03698442197271756,0.7943291635701756
182,R11,CH4_conc,True,0.0381921066741937,0.7286983201296606
183,R11,CH4_conc,False,0.04590061415952666,0.4413313064775677
184,R11,H2S_conc,True,0.0006017999895035275,0.5958572594953667
185,R11,H2S_conc,False,0.0003090664283150719,0.9490719621130532
186,R11,SO2_conc,True,0.0005632603706380047,0.06517553393745512
187,R11,SO2_conc,False,0.0004393787515352643,0.1068591622995532
188,R11,HCOH_conc,True,0.0005197937337179031,0.8450965474675651
189,R11,HCOH_conc,False,0.0007033572055296924,0.6055056911671963
190,R11,CO_conc,True,0.001393789849245044,0.8426883614028813
191,R11,CO_conc,False,0.002097585258802409,0.5746399907762892
192,R11,H2_conc,True,0.01559009749146681,0.945081059300148
193,R11,H2_conc,False,0.002536251180701787,0.9982810130224761
194,R11,NO2_conc,True,0.002076839924962432,0.1331218602480857
195,R11,NO2_conc,False,0.002068216937433475,0.1171333383421216
196,R11,NH3_conc,True,0.003610040281441003,0.9957041043808107
197,R11,NH3_conc,False,0.001210045491261457,0.9996845183180009
198,R12,NO_conc,True,0.01996874572147453,0.8269295578755349
199,R12,NO_conc,False,0.01704494004684781,0.8592099998773736
200,R12,CH4_conc,True,0.03387529830886889,0.6998394572337152
201,R12,CH4_conc,False,0.03380948318138955,0.6814068734924927
202,R12,H2S_conc,True,0.001079606718960263,0.2086789259828072
203,R12,H2S_conc,False,0.0005535807022972713,0.757312559798032
204,R12,SO2_conc,True,0.0009171384935688089,-4.471386888603315
205,R12,SO2_conc,False,0.0004917917445538536,-0.08680599336040107
206,R12,HCOH_conc,True,0.000799447384855104,0.1577412348963227
207,R12,HCOH_conc,False,0.001022635031787176,-0.02874578755085611
208,R12,CO_conc,True,0.003082324005371679,0.05322819831740799
209,R12,CO_conc,False,0.002390699525737258,0.3308890704645872
210,R12,H2_conc,True,0.04410523599354679,0.2038507947632749
211,R12,H2_conc,False,0.04231877729612053,0.2832061365627183
212,R12,NO2_conc,True,0.002537086095885625,-0.4389973382666548
213,R12,NO2_conc,False,0.002163345912737505,0.05297058591154269
214,R12,NH3_conc,True,0.03041437984932037,0.6172288313668544
215,R12,NH3_conc,False,0.02530101633448371,0.6596896624289567
